15:09:12: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:30: 5,1,1.40,732.00
15:09:30: 6,1,1.61,732.00
15:09:30: 7,1,1.61,892.00
15:09:30: 8,1,1.61,912.00
15:09:30: 9,1,1.60,476.00
15:09:30: 10,1,1.55,476.00
15:09:30: 11,1,1.55,580.00
15:09:30: 12,1,1.61,580.00
15:09:30: 13,1,1.60,356.00
15:09:30: 14,1,1.40,372.00
15:09:30: 15,1,1.36,388.00
15:09:30: 16,1,1.40,420.00
15:09:30: 

15:09:30: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:30: 1,1,1.37,976.00
15:09:30: 2,1,1.55,980.00
15:09:30: 3,1,1.37,324.00
15:09:30: 4,1,1.61,356.00
15:09:30: 5,1,1.37,700.00
15:09:30: 6,1,1.55,788.00
15:09:30: 7,1,1.60,892.00
15:09:30: 8,1,1.61,968.00
15:09:30: 9,1,1.50,448.00
15:09:30: 10,1,1.61,524.00
15:09:30: 11,1,1.55,548.00
15:09:30: 12,1,1.40,612.00
15:09:30: 13,1,1.55,356.00
15:09:30: 14,1,1.61,388.00
15:09:30: 15,1,1.60,388.00
15:09:30: 16,1,1.55,416.00
15:09:30: 

15:09:31: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:31: 1,1,1.53,956.00
15:09:31: 2,1,1.53,976.00
15:09:31: 3,1,1.37,324.00
15:09:31: 4,1,1.61,356.00
15:09:31: 5,1,1.61,700.00
15:09:31: 6,1,1.40,804.00
15:09:31: 7,1,1.60,868.00
15:09:31: 8,1,1.37,976.00
15:09:31: 9,1,1.61,420.00
15:09:31: 10,1,1.40,548.00
15:09:31: 11,1,1.61,532.00
15:09:31: 12,1,1.55,640.00
15:09:31: 13,1,1.40,356.00
15:09:31: 14,1,1.61,356.00
15:09:31: 15,1,1.40,388.00
15:09:31: 16,1,1.61,420.00
15:09:31: 

15:09:31: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:31: 1,1,1.40,924.00
15:09:31: 2,1,1.60,952.00
15:09:31: 3,1,1.61,356.00
15:09:31: 4,1,1.37,324.00
15:09:31: 5,1,1.61,700.00
15:09:31: 6,1,1.37,788.00
15:09:31: 7,1,1.61,892.00
15:09:31: 8,1,1.55,924.00
15:09:31: 9,1,1.61,464.00
15:09:31: 10,1,1.37,524.00
15:09:31: 11,1,1.45,576.00
15:09:31: 12,1,1.55,612.00
15:09:31: 13,1,1.61,384.00
15:09:31: 14,1,1.55,356.00
15:09:31: 15,1,1.61,420.00
15:09:31: 16,1,1.60,388.00
15:09:31: 

15:09:31: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:31: 1,1,1.40,868.00
15:09:31: 2,1,1.60,948.00
15:09:31: 3,1,1.61,356.00
15:09:31: 4,1,1.55,324.00
15:09:31: 5,1,1.61,732.00
15:09:31: 6,1,1.37,756.00
15:09:31: 7,1,1.61,924.00
15:09:31: 8,1,1.37,924.00
15:09:31: 9,1,1.40,492.00
15:09:31: 10,1,1.50,476.00
15:09:31: 11,1,1.53,608.00
15:09:31: 12,1,1.55,576.00
15:09:31: 13,1,1.40,384.00
15:09:31: 14,1,1.37,356.00
15:09:31: 15,1,1.61,420.00
15:09:31: 16,1,1.50,388.00
15:09:31: 

15:09:32: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:32: 1,1,1.61,948.00
15:09:32: 2,1,1.55,844.00
15:09:32: 3,1,1.61,356.00
15:09:32: 4,1,1.40,308.00
15:09:32: 5,1,1.40,732.00
15:09:32: 6,1,1.40,732.00
15:09:32: 7,1,1.61,924.00
15:09:32: 8,1,1.40,892.00
15:09:32: 9,1,1.43,524.00
15:09:32: 10,1,1.61,476.00
15:09:32: 11,1,1.53,612.00
15:09:32: 12,1,1.40,568.00
15:09:32: 13,1,1.40,372.00
15:09:32: 14,1,1.61,364.00
15:09:32: 15,1,1.47,388.00
15:09:32: 16,1,1.37,388.00
15:09:32: 

15:09:32: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:32: 1,1,1.60,924.00
15:09:32: 2,1,1.61,968.00
15:09:32: 3,1,1.37,324.00
15:09:32: 4,1,1.40,324.00
15:09:32: 5,1,1.60,732.00
15:09:32: 6,1,1.61,760.00
15:09:32: 7,1,1.40,892.00
15:09:32: 8,1,1.50,924.00
15:09:32: 9,1,1.37,476.00
15:09:32: 10,1,1.47,492.00
15:09:32: 11,1,1.61,580.00
15:09:32: 12,1,1.61,612.00
15:09:32: 13,1,1.60,356.00
15:09:32: 14,1,1.55,388.00
15:09:32: 15,1,1.60,388.00
15:09:32: 16,1,1.40,420.00
15:09:32: 

15:09:33: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:33: 1,1,1.55,892.00
15:09:33: 2,1,1.50,860.00
15:09:33: 3,1,1.59,324.00
15:09:33: 4,1,1.50,324.00
15:09:33: 5,1,1.61,700.00
15:09:33: 6,1,1.40,788.00
15:09:33: 7,1,1.37,880.00
15:09:33: 8,1,1.61,968.00
15:09:33: 9,1,1.40,444.00
15:09:33: 10,1,1.40,548.00
15:09:33: 11,1,1.37,524.00
15:09:33: 12,1,1.61,636.00
15:09:33: 13,1,1.40,356.00
15:09:33: 14,1,1.61,364.00
15:09:33: 15,1,1.55,388.00
15:09:33: 16,1,1.40,416.00
15:09:33: 

15:09:33: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:33: 1,1,1.61,956.00
15:09:33: 2,1,1.40,924.00
15:09:33: 3,1,1.61,356.00
15:09:33: 4,1,1.40,324.00
15:09:33: 5,1,1.61,700.00
15:09:33: 6,1,1.61,788.00
15:09:33: 7,1,1.61,880.00
15:09:33: 8,1,1.50,968.00
15:09:33: 9,1,1.40,420.00
15:09:33: 10,1,1.60,548.00
15:09:33: 11,1,1.61,532.00
15:09:33: 12,1,1.60,636.00
15:09:33: 13,1,1.40,356.00
15:09:33: 14,1,1.61,356.00
15:09:33: 15,1,1.61,388.00
15:09:33: 16,1,1.40,388.00
15:09:33: 

15:09:34: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:34: 1,1,1.40,924.00
15:09:34: 2,1,1.55,948.00
15:09:34: 3,1,1.40,352.00
15:09:34: 4,1,1.55,356.00
15:09:34: 5,1,1.61,728.00
15:09:34: 6,1,1.61,776.00
15:09:34: 7,1,1.61,892.00
15:09:34: 8,1,1.55,924.00
15:09:34: 9,1,1.61,476.00
15:09:34: 10,1,1.60,492.00
15:09:34: 11,1,1.40,580.00
15:09:34: 12,1,1.61,580.00
15:09:34: 13,1,1.55,388.00
15:09:34: 14,1,1.55,356.00
15:09:34: 15,1,1.53,388.00
15:09:34: 16,1,1.55,372.00
15:09:34: 

15:09:34: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:34: 1,1,1.61,844.00
15:09:34: 2,1,1.37,860.00
15:09:34: 3,1,1.61,356.00
15:09:34: 4,1,1.60,356.00
15:09:34: 5,1,1.55,756.00
15:09:34: 6,1,1.50,732.00
15:09:34: 7,1,1.61,924.00
15:09:34: 8,1,1.40,920.00
15:09:34: 9,1,1.37,512.00
15:09:34: 10,1,1.53,476.00
15:09:34: 11,1,1.61,612.00
15:09:34: 12,1,1.61,580.00
15:09:34: 13,1,1.61,372.00
15:09:34: 14,1,1.61,356.00
15:09:34: 15,1,1.53,388.00
15:09:34: 16,1,1.53,372.00
15:09:34: 

15:09:35: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:35: 1,1,1.40,860.00
15:09:35: 2,1,1.40,980.00
15:09:35: 3,1,1.40,324.00
15:09:35: 4,1,1.40,356.00
15:09:35: 5,1,1.53,732.00
15:09:35: 6,1,1.40,732.00
15:09:35: 7,1,1.60,924.00
15:09:35: 8,1,1.40,892.00
15:09:35: 9,1,1.60,492.00
15:09:35: 10,1,1.40,476.00
15:09:35: 11,1,1.50,580.00
15:09:35: 12,1,1.40,568.00
15:09:35: 13,1,1.55,364.00
15:09:35: 14,1,1.61,372.00
15:09:35: 15,1,1.53,388.00
15:09:35: 16,1,1.50,388.00
15:09:35: 

15:09:35: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:35: 1,1,1.60,952.00
15:09:35: 2,1,1.61,952.00
15:09:35: 3,1,1.60,356.00
15:09:35: 4,1,1.61,356.00
15:09:35: 5,1,1.60,700.00
15:09:35: 6,1,1.61,784.00
15:09:35: 7,1,1.50,892.00
15:09:35: 8,1,1.61,948.00
15:09:35: 9,1,1.37,472.00
15:09:35: 10,1,1.61,524.00
15:09:35: 11,1,1.55,548.00
15:09:35: 12,1,1.40,612.00
15:09:35: 13,1,1.55,356.00
15:09:35: 14,1,1.53,372.00
15:09:35: 15,1,1.60,388.00
15:09:35: 16,1,1.40,420.00
15:09:35: 

15:09:35: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:35: 1,1,1.60,924.00
15:09:35: 2,1,1.40,924.00
15:09:35: 3,1,1.61,356.00
15:09:35: 4,1,1.40,352.00
15:09:35: 5,1,1.60,684.00
15:09:35: 6,1,1.61,788.00
15:09:35: 7,1,1.37,860.00
15:09:35: 8,1,1.50,968.00
15:09:35: 9,1,1.37,452.00
15:09:35: 10,1,1.61,552.00
15:09:35: 11,1,1.61,532.00
15:09:35: 12,1,1.61,664.00
15:09:35: 13,1,1.61,364.00
15:09:35: 14,1,1.61,372.00
15:09:35: 15,1,1.61,388.00
15:09:35: 16,1,1.40,416.00
15:09:35: 

15:09:36: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:36: 1,1,1.40,864.00
15:09:36: 2,1,1.53,924.00
15:09:36: 3,1,1.53,324.00
15:09:36: 4,1,1.37,324.00
15:09:36: 5,1,1.61,700.00
15:09:36: 6,1,1.55,788.00
15:09:36: 7,1,1.61,880.00
15:09:36: 8,1,1.45,956.00
15:09:36: 9,1,1.40,472.00
15:09:36: 10,1,1.61,532.00
15:09:36: 11,1,1.61,568.00
15:09:36: 12,1,1.61,612.00
15:09:36: 13,1,1.40,372.00
15:09:36: 14,1,1.40,364.00
15:09:36: 15,1,1.61,420.00
15:09:36: 16,1,1.60,388.00
15:09:36: 

15:09:36: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:36: 1,1,1.61,920.00
15:09:36: 2,1,1.53,844.00
15:09:36: 3,1,1.47,356.00
15:09:36: 4,1,1.37,324.00
15:09:36: 5,1,1.61,732.00
15:09:36: 6,1,1.55,760.00
15:09:36: 7,1,1.61,924.00
15:09:36: 8,1,1.55,924.00
15:09:36: 9,1,1.61,492.00
15:09:36: 10,1,1.37,492.00
15:09:36: 11,1,1.61,580.00
15:09:36: 12,1,1.37,580.00
15:09:36: 13,1,1.40,384.00
15:09:36: 14,1,1.37,356.00
15:09:36: 15,1,1.61,420.00
15:09:36: 16,1,1.60,388.00
15:09:36: 

15:09:37: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:37: 1,1,1.61,844.00
15:09:37: 2,1,1.40,976.00
15:09:37: 3,1,1.61,356.00
15:09:37: 4,1,1.61,356.00
15:09:37: 5,1,1.40,732.00
15:09:37: 6,1,1.61,732.00
15:09:37: 7,1,1.61,924.00
15:09:37: 8,1,1.55,924.00
15:09:37: 9,1,1.40,492.00
15:09:37: 10,1,1.61,476.00
15:09:37: 11,1,1.50,612.00
15:09:37: 12,1,1.37,576.00
15:09:37: 13,1,1.61,372.00
15:09:37: 14,1,1.61,372.00
15:09:37: 15,1,1.61,388.00
15:09:37: 16,1,1.53,388.00
15:09:37: 

15:09:37: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:37: 1,1,1.60,948.00
15:09:37: 2,1,1.35,868.00
15:09:37: 3,1,1.55,356.00
15:09:37: 4,1,1.61,356.00
15:09:37: 5,1,1.37,732.00
15:09:37: 6,1,1.45,756.00
15:09:37: 7,1,1.51,892.00
15:09:37: 8,1,1.61,924.00
15:09:37: 9,1,1.53,476.00
15:09:37: 10,1,1.61,492.00
15:09:37: 11,1,1.37,580.00
15:09:37: 12,1,1.40,608.00
15:09:37: 13,1,1.55,356.00
15:09:37: 14,1,1.40,364.00
15:09:37: 15,1,1.37,388.00
15:09:37: 16,1,1.61,388.00
15:09:37: 

15:09:38: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:38: 1,1,1.53,892.00
15:09:38: 2,1,1.61,968.00
15:09:38: 3,1,1.37,324.00
15:09:38: 4,1,1.40,356.00
15:09:38: 5,1,1.61,700.00
15:09:38: 6,1,1.55,788.00
15:09:38: 7,1,1.61,888.00
15:09:38: 8,1,1.61,948.00
15:09:38: 9,1,1.37,444.00
15:09:38: 10,1,1.61,532.00
15:09:38: 11,1,1.55,524.00
15:09:38: 12,1,1.40,612.00
15:09:38: 13,1,1.55,356.00
15:09:38: 14,1,1.40,372.00
15:09:38: 15,1,1.50,372.00
15:09:38: 16,1,1.40,420.00
15:09:38: 

15:09:38: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:38: 1,1,1.40,892.00
15:09:38: 2,1,1.61,968.00
15:09:38: 3,1,1.61,356.00
15:09:38: 4,1,1.53,356.00
15:09:38: 5,1,1.61,700.00
15:09:38: 6,1,1.61,788.00
15:09:38: 7,1,1.61,864.00
15:09:38: 8,1,1.50,968.00
15:09:38: 9,1,1.37,448.00
15:09:38: 10,1,1.53,548.00
15:09:38: 11,1,1.40,524.00
15:09:38: 12,1,1.40,656.00
15:09:38: 13,1,1.50,356.00
15:09:38: 14,1,1.53,372.00
15:09:38: 15,1,1.61,388.00
15:09:38: 16,1,1.53,388.00
15:09:38: 

15:09:39: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:39: 1,1,1.61,844.00
15:09:39: 2,1,1.50,844.00
15:09:39: 3,1,1.61,356.00
15:09:39: 4,1,1.55,324.00
15:09:39: 5,1,1.61,700.00
15:09:39: 6,1,1.60,784.00
15:09:39: 7,1,1.55,892.00
15:09:39: 8,1,1.55,924.00
15:09:39: 9,1,1.40,464.00
15:09:39: 10,1,1.55,520.00
15:09:39: 11,1,1.61,568.00
15:09:39: 12,1,1.60,612.00
15:09:39: 13,1,1.61,364.00
15:09:39: 14,1,1.61,364.00
15:09:39: 15,1,1.61,420.00
15:09:39: 16,1,1.55,388.00
15:09:39: 

15:09:39: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:39: 1,1,1.61,956.00
15:09:39: 2,1,1.61,948.00
15:09:39: 3,1,1.55,324.00
15:09:39: 4,1,1.55,356.00
15:09:39: 5,1,1.61,732.00
15:09:39: 6,1,1.60,756.00
15:09:39: 7,1,1.40,924.00
15:09:39: 8,1,1.37,912.00
15:09:39: 9,1,1.55,492.00
15:09:39: 10,1,1.61,476.00
15:09:39: 11,1,1.50,580.00
15:09:39: 12,1,1.60,580.00
15:09:39: 13,1,1.35,388.00
15:09:39: 14,1,1.60,324.00
15:09:39: 15,1,1.61,388.00
15:09:39: 16,1,1.60,388.00
15:09:39: 

15:09:39: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:39: 1,1,1.61,956.00
15:09:39: 2,1,1.37,860.00
15:09:39: 3,1,1.33,308.00
15:09:39: 4,1,1.50,324.00
15:09:39: 5,1,1.61,732.00
15:09:39: 6,1,1.37,732.00
15:09:39: 7,1,1.53,924.00
15:09:39: 8,1,1.61,892.00
15:09:39: 9,1,1.40,492.00
15:09:39: 10,1,1.61,476.00
15:09:39: 11,1,1.61,612.00
15:09:39: 12,1,1.61,556.00
15:09:39: 13,1,1.61,372.00
15:09:39: 14,1,1.61,356.00
15:09:39: 15,1,1.53,388.00
15:09:39: 16,1,1.37,388.00
15:09:39: 

15:09:40: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:40: 1,1,1.50,892.00
15:09:40: 2,1,1.61,968.00
15:09:40: 3,1,1.37,324.00
15:09:40: 4,1,1.61,356.00
15:09:40: 5,1,1.60,728.00
15:09:40: 6,1,1.61,756.00
15:09:40: 7,1,1.50,892.00
15:09:40: 8,1,1.40,924.00
15:09:40: 9,1,1.37,476.00
15:09:40: 10,1,1.40,492.00
15:09:40: 11,1,1.55,580.00
15:09:40: 12,1,1.61,612.00
15:09:40: 13,1,1.55,352.00
15:09:40: 14,1,1.40,372.00
15:09:40: 15,1,1.37,388.00
15:09:40: 16,1,1.61,416.00
15:09:40: 

15:09:40: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:40: 1,1,1.37,976.00
15:09:40: 2,1,1.40,924.00
15:09:40: 3,1,1.60,352.00
15:09:40: 4,1,1.40,324.00
15:09:40: 5,1,1.60,700.00
15:09:40: 6,1,1.40,788.00
15:09:40: 7,1,1.37,880.00
15:09:40: 8,1,1.50,968.00
15:09:40: 9,1,1.60,420.00
15:09:40: 10,1,1.40,548.00
15:09:40: 11,1,1.53,524.00
15:09:40: 12,1,1.55,644.00
15:09:40: 13,1,1.61,356.00
15:09:40: 14,1,1.61,372.00
15:09:40: 15,1,1.60,384.00
15:09:40: 16,1,1.55,388.00
15:09:40: 

15:09:41: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:41: 1,1,1.61,836.00
15:09:41: 2,1,1.61,956.00
15:09:41: 3,1,1.61,356.00
15:09:41: 4,1,1.61,356.00
15:09:41: 5,1,1.61,700.00
15:09:41: 6,1,1.37,788.00
15:09:41: 7,1,1.37,860.00
15:09:41: 8,1,1.61,968.00
15:09:41: 9,1,1.61,444.00
15:09:41: 10,1,1.40,548.00
15:09:41: 11,1,1.61,548.00
15:09:41: 12,1,1.61,640.00
15:09:41: 13,1,1.40,364.00
15:09:41: 14,1,1.61,372.00
15:09:41: 15,1,1.53,388.00
15:09:41: 16,1,1.40,388.00
15:09:41: 

15:09:41: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:41: 1,1,1.40,892.00
15:09:41: 2,1,1.51,844.00
15:09:41: 3,1,1.50,356.00
15:09:41: 4,1,1.47,352.00
15:09:41: 5,1,1.61,720.00
15:09:41: 6,1,1.37,776.00
15:09:41: 7,1,1.61,892.00
15:09:41: 8,1,1.60,924.00
15:09:41: 9,1,1.61,420.00
15:09:41: 10,1,1.60,512.00
15:09:41: 11,1,1.40,580.00
15:09:41: 12,1,1.37,580.00
15:09:41: 13,1,1.61,372.00
15:09:41: 14,1,1.55,356.00
15:09:41: 15,1,1.53,416.00
15:09:41: 16,1,1.50,372.00
15:09:41: 

15:09:42: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:42: 1,1,1.40,864.00
15:09:42: 2,1,1.37,860.00
15:09:42: 3,1,1.61,360.00
15:09:42: 4,1,1.61,356.00
15:09:42: 5,1,1.53,732.00
15:09:42: 6,1,1.55,732.00
15:09:42: 7,1,1.61,924.00
15:09:42: 8,1,1.60,920.00
15:09:42: 9,1,1.40,524.00
15:09:42: 10,1,1.61,476.00
15:09:42: 11,1,1.40,612.00
15:09:42: 12,1,1.37,548.00
15:09:42: 13,1,1.61,372.00
15:09:42: 14,1,1.40,356.00
15:09:42: 15,1,1.40,388.00
15:09:42: 16,1,1.60,388.00
15:09:42: 

15:09:42: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:42: 1,1,1.61,956.00
15:09:42: 2,1,1.55,860.00
15:09:42: 3,1,1.37,324.00
15:09:42: 4,1,1.61,356.00
15:09:42: 5,1,1.37,732.00
15:09:42: 6,1,1.40,732.00
15:09:42: 7,1,1.61,924.00
15:09:42: 8,1,1.61,924.00
15:09:42: 9,1,1.61,492.00
15:09:42: 10,1,1.40,476.00
15:09:42: 11,1,1.61,580.00
15:09:42: 12,1,1.61,580.00
15:09:42: 13,1,1.60,356.00
15:09:42: 14,1,1.40,364.00
15:09:42: 15,1,1.61,388.00
15:09:42: 16,1,1.61,388.00
15:09:42: 

15:09:43: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:43: 1,1,1.55,836.00
15:09:43: 2,1,1.40,924.00
15:09:43: 3,1,1.55,356.00
15:09:43: 4,1,1.40,324.00
15:09:43: 5,1,1.55,700.00
15:09:43: 6,1,1.37,764.00
15:09:43: 7,1,1.55,892.00
15:09:43: 8,1,1.61,948.00
15:09:43: 9,1,1.55,452.00
15:09:43: 10,1,1.40,524.00
15:09:43: 11,1,1.53,568.00
15:09:43: 12,1,1.43,612.00
15:09:43: 13,1,1.60,356.00
15:09:43: 14,1,1.61,372.00
15:09:43: 15,1,1.37,364.00
15:09:43: 16,1,1.40,416.00
15:09:43: 

15:09:43: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:43: 1,1,1.37,976.00
15:09:43: 2,1,1.61,892.00
15:09:43: 3,1,1.61,356.00
15:09:43: 4,1,1.61,352.00
15:09:43: 5,1,1.50,700.00
15:09:43: 6,1,1.61,788.00
15:09:43: 7,1,1.45,868.00
15:09:43: 8,1,1.61,952.00
15:09:43: 9,1,1.61,420.00
15:09:43: 10,1,1.61,548.00
15:09:43: 11,1,1.61,532.00
15:09:43: 12,1,1.40,656.00
15:09:43: 13,1,1.40,356.00
15:09:43: 14,1,1.61,372.00
15:09:43: 15,1,1.40,388.00
15:09:43: 16,1,1.61,388.00
15:09:43: 

15:09:43: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:43: 1,1,1.45,976.00
15:09:43: 2,1,1.61,948.00
15:09:43: 3,1,1.40,356.00
15:09:43: 4,1,1.61,356.00
15:09:43: 5,1,1.40,700.00
15:09:43: 6,1,1.60,788.00
15:09:43: 7,1,1.61,888.00
15:09:43: 8,1,1.40,956.00
15:09:43: 9,1,1.61,444.00
15:09:43: 10,1,1.61,532.00
15:09:43: 11,1,1.55,552.00
15:09:43: 12,1,1.61,636.00
15:09:43: 13,1,1.40,364.00
15:09:43: 14,1,1.61,356.00
15:09:43: 15,1,1.61,416.00
15:09:43: 16,1,1.60,388.00
15:09:43: 

15:09:44: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:44: 1,1,1.55,924.00
15:09:44: 2,1,1.55,956.00
15:09:44: 3,1,1.40,356.00
15:09:44: 4,1,1.55,324.00
15:09:44: 5,1,1.61,732.00
15:09:44: 6,1,1.37,756.00
15:09:44: 7,1,1.40,920.00
15:09:44: 8,1,1.61,924.00
15:09:44: 9,1,1.61,476.00
15:09:44: 10,1,1.55,492.00
15:09:44: 11,1,1.55,580.00
15:09:44: 12,1,1.37,580.00
15:09:44: 13,1,1.40,388.00
15:09:44: 14,1,1.61,352.00
15:09:44: 15,1,1.40,416.00
15:09:44: 16,1,1.37,388.00
15:09:44: 

15:09:44: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:44: 1,1,1.40,892.00
15:09:44: 2,1,1.47,860.00
15:09:44: 3,1,1.50,352.00
15:09:44: 4,1,1.61,356.00
15:09:44: 5,1,1.53,756.00
15:09:44: 6,1,1.61,732.00
15:09:44: 7,1,1.40,924.00
15:09:44: 8,1,1.40,892.00
15:09:44: 9,1,1.50,492.00
15:09:44: 10,1,1.40,476.00
15:09:44: 11,1,1.47,608.00
15:09:44: 12,1,1.40,548.00
15:09:44: 13,1,1.61,364.00
15:09:44: 14,1,1.61,356.00
15:09:44: 15,1,1.61,388.00
15:09:44: 16,1,1.60,388.00
15:09:44: 

15:09:45: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:45: 1,1,1.45,976.00
15:09:45: 2,1,1.61,968.00
15:09:45: 3,1,1.37,324.00
15:09:45: 4,1,1.61,356.00
15:09:45: 5,1,1.37,732.00
15:09:45: 6,1,1.61,756.00
15:09:45: 7,1,1.37,924.00
15:09:45: 8,1,1.61,924.00
15:09:45: 9,1,1.55,476.00
15:09:45: 10,1,1.61,476.00
15:09:45: 11,1,1.50,580.00
15:09:45: 12,1,1.61,580.00
15:09:45: 13,1,1.37,356.00
15:09:45: 14,1,1.55,388.00
15:09:45: 15,1,1.37,388.00
15:09:45: 16,1,1.61,416.00
15:09:45: 

15:09:45: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:45: 1,1,1.55,836.00
15:09:45: 2,1,1.40,980.00
15:09:45: 3,1,1.37,308.00
15:09:45: 4,1,1.61,364.00
15:09:45: 5,1,1.61,700.00
15:09:45: 6,1,1.61,788.00
15:09:45: 7,1,1.45,892.00
15:09:45: 8,1,1.61,948.00
15:09:45: 9,1,1.60,444.00
15:09:45: 10,1,1.61,532.00
15:09:45: 11,1,1.60,548.00
15:09:45: 12,1,1.61,636.00
15:09:45: 13,1,1.60,356.00
15:09:45: 14,1,1.61,388.00
15:09:45: 15,1,1.55,372.00
15:09:45: 16,1,1.55,420.00
15:09:45: 

15:09:46: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:46: 1,1,1.50,860.00
15:09:46: 2,1,1.61,952.00
15:09:46: 3,1,1.61,356.00
15:09:46: 4,1,1.55,324.00
15:09:46: 5,1,1.53,684.00
15:09:46: 6,1,1.55,788.00
15:09:46: 7,1,1.61,868.00
15:09:46: 8,1,1.61,968.00
15:09:46: 9,1,1.40,444.00
15:09:46: 10,1,1.50,548.00
15:09:46: 11,1,1.61,548.00
15:09:46: 12,1,1.40,640.00
15:09:46: 13,1,1.40,356.00
15:09:46: 14,1,1.61,372.00
15:09:46: 15,1,1.61,388.00
15:09:46: 16,1,1.61,420.00
15:09:46: 

15:09:46: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:46: 1,1,1.61,880.00
15:09:46: 2,1,1.60,952.00
15:09:46: 3,1,1.40,352.00
15:09:46: 4,1,1.61,356.00
15:09:46: 5,1,1.61,700.00
15:09:46: 6,1,1.37,788.00
15:09:46: 7,1,1.61,892.00
15:09:46: 8,1,1.37,948.00
15:09:46: 9,1,1.40,476.00
15:09:46: 10,1,1.60,524.00
15:09:46: 11,1,1.61,580.00
15:09:46: 12,1,1.50,580.00
15:09:46: 13,1,1.40,356.00
15:09:46: 14,1,1.60,356.00
15:09:46: 15,1,1.61,408.00
15:09:46: 16,1,1.55,388.00
15:09:46: 

15:09:47: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:47: 1,1,1.53,976.00
15:09:47: 2,1,1.37,860.00
15:09:47: 3,1,1.61,364.00
15:09:47: 4,1,1.37,324.00
15:09:47: 5,1,1.55,732.00
15:09:47: 6,1,1.37,732.00
15:09:47: 7,1,1.40,892.00
15:09:47: 8,1,1.60,892.00
15:09:47: 9,1,1.61,492.00
15:09:47: 10,1,1.60,476.00
15:09:47: 11,1,1.61,580.00
15:09:47: 12,1,1.55,576.00
15:09:47: 13,1,1.40,364.00
15:09:47: 14,1,1.37,356.00
15:09:47: 15,1,1.53,416.00
15:09:47: 16,1,1.37,372.00
15:09:47: 

15:09:47: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:47: 1,1,1.40,924.00
15:09:47: 2,1,1.40,924.00
15:09:47: 3,1,1.61,356.00
15:09:47: 4,1,1.40,356.00
15:09:47: 5,1,1.61,756.00
15:09:47: 6,1,1.40,732.00
15:09:47: 7,1,1.61,924.00
15:09:47: 8,1,1.53,924.00
15:09:47: 9,1,1.61,492.00
15:09:47: 10,1,1.61,476.00
15:09:47: 11,1,1.61,612.00
15:09:47: 12,1,1.37,568.00
15:09:47: 13,1,1.61,372.00
15:09:47: 14,1,1.60,356.00
15:09:47: 15,1,1.61,388.00
15:09:47: 16,1,1.50,388.00
15:09:47: 

15:09:47: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:47: 1,1,1.40,968.00
15:09:47: 2,1,1.61,968.00
15:09:47: 3,1,1.37,324.00
15:09:47: 4,1,1.61,356.00
15:09:47: 5,1,1.60,732.00
15:09:47: 6,1,1.40,764.00
15:09:47: 7,1,1.60,892.00
15:09:47: 8,1,1.61,924.00
15:09:47: 9,1,1.60,476.00
15:09:47: 10,1,1.61,492.00
15:09:47: 11,1,1.37,568.00
15:09:47: 12,1,1.61,612.00
15:09:47: 13,1,1.37,324.00
15:09:47: 14,1,1.61,364.00
15:09:47: 15,1,1.55,372.00
